id,detalle,precio
284397,TECHNODREAM FIT,"S/.1.550,00"
4126041501,SIMMONS LUXURY COLLECTION TOP,"S/.2.095,00"
2124023201,PREMIUM POCKET,"S/.1.210,00"
2115030901,QUBO ANTISTRESS,"S/.1.545,00"
2127023201,PREMIUM POCKET,"S/.2.535,00"
284404,POCKET RAICES NAZCA,"S/.2.090,00"
2124023301,PRO RUNNER ACTIBIO,"S/.1.000,00"
265323,DORMIDITA NOTEX,"S/.1.540,00"
2127023391,PRO RUNNER ACTIBIO,"S/.2.695,00"
267401,PRINCE,"S/.2.090,00"
2124023401,PRO RUNNER OXYGEL,"S/.1.020,00"
4915040004,SIMMONS - TRUE ENERGY ADVANCE,"S/.1.540,00"
2127023401,PRO RUNNER OXYGEL,"S/.2.260,00"
458435,SIMMONS BR RECHARGE AUDRINA LUXURY P/T,"S/.2.090,00"
2124020201,PURE FRESH,"S/.1.160,00"
2915010020,TAMBO,"S/.1.540,00"
2127020201,PURE FRESH,"S/.2.455,00"
2126020901,ACTIPRO,"S/.2.085,00"
2124011101,REPOSE,"S/.2.215,00"
2126021001,AERO AIRFRESH,"S/.2.085,00"
265324,DORMIDITA POLIALGODON,"S/.1.535,00"
4127050301,SERTA HYBRID OBSERVER,"S/.2.380,00"
2126020501,AERO LATEX,"S/.2.085,00"
2145020101,CROMO,"S/.1.535,00"
2127050101,SERTA PERFECT SLEEPER KLEINMON PT,"S/.2.655,00"
2126041001,SIMMONS NIGHTFALL RECHARGE PT,"S/.2.085,00"
2125020591,AERO LATEX,"S/.1.535,00"
2127050201,SERTA PERFECT SLEEPER WESBOROUGH PT,"S/.2.555,00"
2844S1,SIMMONS BEAUTYREST AUDRINA LUX FIRM,"S/.2.085,00"
4127040201,SIMMONS ALOFT ET WITH EVERNU,"S/.2.475,00"
267422,VESUBIO,"S/.2.085,00"
458430,SIMMONS BEAUTY REST - HARMONY HILTON,"S/.2.080,00"
2844S3,SIMMONS HYBRID MARLEE PLUSH,"S/.2.080,00"
267442,SEVILLA,"S/.2.075,00"
267317,IKASA SILVER SPRING,"S/.1.535,00"
2127040301,SIMMONS BEAUTYREST CHAPELLE PLUSH,"S/.2.380,00"
2126041101,SIMMONS BEAUTYREST SILVER PT,"S/.2.070,00"
2843S4,SIMMONS BEAUTYREST PT AUDRINA LUX FIRM,"S/.1.530,00"
2127040491,SIMMONS BEAUTYREST FELICITY,"S/.2.460,00"
458450,POCKET ICOMFORT HYBRID OBSERVER,"S/.2.070,00"
2125020901,ACTIPRO,"S/.1.525,00"
2127040501,SIMMONS BEAUTYREST HYBRID,"S/.2.245,00"
284403,POCKET RAICES SIPAN,"S/.2.070,00"
2115024801,DRIMER TENCEL,"S/.1.525,00"
2127040201,SIMMONS BEAUTYREST PLATINUM PT,"S/.2.225,00"
458423,SIMMONS BEAUTY REST - BLACK GABRIELA,"S/.2.070,00"
