id,detalle,modelo,precio
2703AK,SICILIA TS - SA,3 CUERPO,"S/.1.015,00"
270267,SPYKER,2 CUERPO,"S/.1.210,00"
270367,SPYKER,3 CUERPO,"S/.1.115,00"
270229,TEMPO,2 CUERPO,"S/.705,00"
270329,TEMPO,3 CUERPO,"S/.1.410,00"
270274,TEMPO VINIL-EBEL,2 CUERPO,"S/.1.120,00"
270132,TERRACOTA,1 CUERPO,"S/.750,00"
270232,TERRACOTA,2 CUERPO,"S/.1.065,00"
270332,TERRACOTA,3 CUERPO,"S/.1.205,00"
270122,TORONTO,1 CUERPO,"S/.730,00"
270222,TORONTO,2 CUERPO,"S/.1.325,00"
270322,TORONTO,3 CUERPO,"S/.1.220,00"
270142,TOTI,1 CUERPO,"S/.815,00"
270242,TOTI,2 CUERPO,"S/.1.020,00"
270342,TOTI,3 CUERPO,"S/.1.165,00"
2702AG,TRACOL,2 CUERPO,"S/.810,00"
2703AG,TRACOL,3 CUERPO,"S/.1.225,00"
270187,TRENTO,1 CUERPO,"S/.985,00"
270287,TRENTO,2 CUERPO,"S/.1.025,00"
270387,TRENTO,3 CUERPO,"S/.1.420,00"
270104,TRENZA,1 CUERPO,"S/.640,00"
270204,TRENZA,2 CUERPO,"S/.725,00"
270304,TRENZA,3 CUERPO,"S/.1.310,00"
2701A1,TRENZA ECONOMICO,1 CUERPO,"S/.850,00"
2702A1,TRENZA ECONOMICO,2 CUERPO,"S/.1.340,00"
2703A1,TRENZA ECONOMICO,3 CUERPO,"S/.1.325,00"
2701AI,TRENZA ECONOMICO TS,1 CUERPO,"S/.905,00"
2702AI,TRENZA ECONOMICO TS,2 CUERPO,"S/.940,00"
2703AI,TRENZA ECONOMICO TS,3 CUERPO,"S/.1.525,00"
270271,VALENCIA,2 CUERPO,"S/.1.135,00"
270371,VALENCIA,3 CUERPO,"S/.940,00"
270283,VALENCIA SD,2 CUERPO,"S/.1.265,00"
270383,VALENCIA SD,3 CUERPO,"S/.1.040,00"
270117,VANIA,1 CUERPO,"S/.755,00"
270217,VANIA,2 CUERPO,"S/.1.175,00"
270317,VANIA,3 CUERPO,"S/.1.435,00"
2702A8,VARSOVIA,2 CUERPO,"S/.845,00"
2703A8,VARSOVIA,3 CUERPO,"S/.1.365,00"
270121,VENECIA,1 CUERPO,"S/.950,00"
270221,VENECIA,2 CUERPO,"S/.1.210,00"
270321,VENECIA,3 CUERPO,"S/.1.575,00"
270188,VERON,1 CUERPO,"S/.850,00"
270288,VERON,2 CUERPO,"S/.815,00"
270388,VERON,3 CUERPO,"S/.1.545,00"
270258,VERONA,2 CUERPO,"S/.1.210,00"
270358,VERONA,3 CUERPO,"S/.1.210,00"
2702A6,VERONA I,2 CUERPO,"S/.715,00"
2703A6,VERONA I,3 CUERPO,"S/.915,00"
270202,VERSO,2 CUERPO,"S/.725,00"
270302,VERSO,3 CUERPO,"S/.1.610,00"
270180,ZANETTI,1 CUERPO,"S/.850,00"
270280,ZANETTI,2 CUERPO,"S/.1.000,00"
270380,ZANETTI,3 CUERPO,"S/.1.015,00"
270160,ZICO,1 CUERPO,"S/.735,00"
270260,ZICO,2 CUERPO,"S/.970,00"
270360,ZICO,3 CUERPO,"S/.1.225,00"
270143,ZIDANE,1 CUERPO,"S/.790,00"
270243,ZIDANE,2 CUERPO,"S/.1.335,00"
270343,ZIDANE,3 CUERPO,"S/.1.500,00"
270115,ZIENTTE,1 CUERPO,"S/.825,00"
270215,ZIENTTE,2 CUERPO,"S/.835,00"
270315,ZIENTTE,3 CUERPO,"S/.1.370,00"
